,Angry,Fear,Happy,Neutral,Sad,Surprise
62,0.018022675,0.052653134,0.83069706,0.029917099,0.062978692,0.005731355
63,0.002022502,0.003117647,0.843060613,0.135254309,0.011043988,0.005501003
64,0.00204056,0.002999428,0.846550167,0.138119206,0.007484884,0.002805752
65,0.004893929,0.014121271,0.83864361,0.094037317,0.01715323,0.031150687
66,0.000103381,0.000713685,0.995612025,0.000852452,0.000511429,0.002207035
67,0.092870466,0.049846474,0.484082848,0.047659718,0.315682918,0.009857552
68,0.074010625,0.06598974,0.601319551,0.173245266,0.066433519,0.019001266
69,0.003248835,0.005451553,0.880922019,0.062774338,0.046058018,0.001545249
70,8.48E-06,1.96E-05,0.998389602,0.00144638,0.000135439,5.51E-07
71,0.010782115,0.004875306,0.872737765,0.101591185,0.005278163,0.004735413
72,0.012560316,0.000920166,0.91924715,0.064304158,0.002441006,0.000527223
73,0.003888471,0.000479054,0.962215006,0.030337203,0.001707911,0.001372385
74,0.00021044,6.12E-05,0.939830899,0.059499085,0.000208171,0.000190291
75,0.001071753,0.000126971,0.929687977,0.068381287,0.000645089,8.69E-05
76,0.033411022,0.00626968,0.735190809,0.196781173,0.013519233,0.014828096
77,0.024666388,0.005135061,0.69140017,0.255714685,0.019878633,0.003205108
78,0.114965312,0.006861104,0.84802711,0.021495078,0.007024808,0.00162656
79,0.000718229,0.000356195,0.978930593,0.019401366,0.000401391,0.000192201
80,0.022824816,0.020079982,0.8685233,0.049345866,0.033347134,0.005878956
81,0.006466595,0.004469113,0.926442325,0.057284325,0.002657641,0.002679961
82,0.088531598,0.020033916,0.806539595,0.062196873,0.016882673,0.005815317
83,0.05552651,0.076952092,0.64976263,0.072047934,0.071169987,0.074540854
84,0.108210988,0.088792466,0.582381427,0.096225128,0.096989818,0.027400142
85,0.009457445,0.00753149,0.961110175,0.014544175,0.00326829,0.004088368
86,0.096138194,0.048180893,0.563625276,0.217332155,0.037341416,0.037382044
87,0.021625314,0.011199887,0.468415529,0.461047292,0.025606509,0.012105396
88,0.062908061,0.440720648,0.091865323,0.14326565,0.164319307,0.096921049
89,0.090780675,0.190198943,0.138738915,0.319360763,0.23912248,0.021798195
90,0.820710003,0.032591604,0.013306276,0.03453419,0.043212947,0.055644963
91,0.156336039,0.098656692,0.088442072,0.199403405,0.18452695,0.272634804
92,0.235422581,0.217739031,0.021152291,0.115094215,0.386018425,0.024573371
93,0.44447422,0.074757606,0.025747748,0.01839838,0.015409097,0.421212882
94,0.834172428,0.024238983,0.010948406,0.097192369,0.030895213,0.002552583
95,0.89667201,0.000723669,0.001640894,0.084264867,0.016170733,0.000527797
96,0.657040656,0.020938061,0.006823972,0.143125683,0.165440306,0.006631399
97,0.36088717,0.005604816,0.015469045,0.519570827,0.098129392,0.000338717
98,0.097765826,0.005070167,0.055059925,0.784575105,0.04467918,0.012849868
99,0.09522327,0.017799724,0.054239716,0.705456078,0.113544978,0.013736179
